

=======================================================
TABLA RESUMEN DE RESULTADOS
=======================================================

Query ID   | Precision  | Recall     | AP         | Relevantes | Recuperados  | Coincidencias
---------- | ---------- | ---------- | ---------- | ---------- | ------------ | ------------
176        | 0.0500      | 0.5000      | 0.2500      | 2          | 20           | 1           
236        | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
392        | 0.2500      | 1.0000      | 0.8267      | 5          | 20           | 5           
400        | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
428        | 0.0500      | 1.0000      | 0.1250      | 1          | 20           | 1           
517        | 0.0000      | 0.0000      | 0.0000      | 2          | 20           | 0           
648        | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
904        | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
1345       | 0.0500      | 1.0000      | 0.0769      | 1          | 20           | 1           
1724       | 0.1000      | 1.0000      | 0.8333      | 2          | 20           | 2           
1727       | 0.0500      | 1.0000      | 0.0833      | 1          | 20           | 1           
1793       | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
1878       | 0.0500      | 1.0000      | 0.5000      | 1          | 20           | 1           
2151       | 0.0500      | 1.0000      | 0.3333      | 1          | 20           | 1           
2900       | 0.0000      | 0.0000      | 0.0000      | 2          | 20           | 0           
2908       | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
3040       | 0.1000      | 1.0000      | 1.0000      | 2          | 20           | 2           
3492       | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
3597       | 0.0500      | 0.5000      | 0.0714      | 2          | 20           | 1           
4116       | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
4235       | 0.0500      | 1.0000      | 0.3333      | 1          | 20           | 1           
4300       | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
4491       | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
4550       | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
4666       | 0.0500      | 1.0000      | 0.2500      | 1          | 20           | 1           
4685       | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
4695       | 0.1000      | 1.0000      | 0.3500      | 2          | 20           | 2           
4778       | 0.0500      | 1.0000      | 0.5000      | 1          | 20           | 1           
4825       | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
4890       | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
4909       | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
